Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
MIMAT0005297	mir-147	rno-	miR-147	Aluminium+Fluorine	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	Up-regulated after exposure to different concentrations in hippocampus	Ge Q-D, Xie C, Zhang H, Tan Y, Wan C-W, Wang W-J, et al. Differential Expression of miRNAs in the Hippocampi of Offspring Rats Exposed to Fluorine Combined with Aluminum during the Embryonic Stage and into Adulthood. Biological Trace Element Research [Internet]. Springer Science and Business Media LLC; 2018 Jul 22;189(2):463–77. Available from: http://dx.doi.org/10.1007/s12011-018-1445-4	1
NA	NA	hsa-	miR-147	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
NA	NA	mmu-	miR-148a	Lead	Mus musculus	in vivo (B6.Cg-Mapttm1 (GFP)KltTg(MAPT)8cPdav/J) brain tissue	differentially regulated after exposure with a concentration of 1.95 ppm of wet weight.	Masoud AM, Bihaqi SW, Alansi B, et al. Altered microRNA, mRNA, and Protein Expression of Neurodegeneration-Related Biomarkers and Their Transcriptional and Epigenetic Modifiers in a Human Tau Transgenic Mouse Model in Response to Developmental Lead Exposure. J Alzheimers Dis. 2018;63(1):273-282. doi:10.3233/JAD-170824	0
NA	NA	hsa-	miR-148a	Lead	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Xu M, Yu Z, Hu F, Zhang H, Zhong L, Han L, et al. Identification of differential plasma miRNA profiles in Chinese workers with occupational lead exposure. Bioscience Reports [Internet]. Portland Press Ltd.; 2017 Oct 31;37(5). Available from: http://dx.doi.org/10.1042/bsr20171111	1
NA	NA	hsa-	miR-148b	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
MIMAT0035727	mir-149	rno-	miR-149-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	mmu-	miR-150	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Downregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
NA	NA	bbe-	miR-150	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000451	mir-150	hsa-	miR-150-5p	Titanium	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Chen W, Fu W, Deng Q, Li Y, Wang K, Bai Y, et al. Multiple metals exposure and chromosome damage: Exploring the mediation effects of microRNAs and their potentials in lung carcinogenesis. Environment International [Internet]. Elsevier BV; 2019 Jan;122:291–300. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.020	1
MIMAT0000451	mir-150	hsa-	miR-150-5p	Antimony	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000451	mir-150	hsa-	miR-150-5p	Manganese	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000451	mir-150	hsa-	miR-150-5p	Titanium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000451	mir-150	hsa-	miR-150-5p	Benzo(a)pyrene	Homo sapiens	in vivo (plasma)	upregulated in coke oven workers, associated also with other PAHs exposure	Deng Q, Huang S, Zhang X, Zhang W, Feng J, Wang T, et al. Plasma microRNA Expression and Micronuclei Frequency in Workers Exposed to Polycyclic Aromatic Hydrocarbons. Environmental Health Perspectives [Internet]. Environmental Health Perspectives; 2014 Jul;122(7):719–25. Available from: http://dx.doi.org/10.1289/ehp.1307080	1
NA	NA	bbe-	miR-151	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	hsa-	miR-151-3p	Sulfides	Homo sapiens	in vivo (plasma)	strongly up regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
NA	NA	hsa-	miR-151-5p	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MIMAT0000854	mir-148	rno-	miR-152-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000162	mir-148	mmu-	miR-152-3p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0012642	mir-153	dpu-	miR-153	Cadmium	Daphnia pulex	in vivo (whole body offspring)	up-regulated after exposure	Chen S, Nichols KM, Poynton HC, Sepúlveda MS. MicroRNAs are involved in cadmium tolerance in Daphnia pulex. Aquatic Toxicology [Internet]. Elsevier BV; 2016 Jun;175:241–8. Available from: http://dx.doi.org/10.1016/j.aquatox.2016.03.023	1
NA	NA	hsa-	miR-1537	Cadmium	Homo sapiens	in vivo (Placenta)	Upregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
NA	NA	mmu-	miR-154	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
NA	NA	bbe-	miR-154	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	hsa-	miR-155	Sulfides	Homo sapiens	in vivo (plasma)	strongly down regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
NA	NA	 	miR-155	Cadmium	Sinopotamon henanense	in vivo (hepatopancreas)	significantly down-regulated	Xu P, Guo H, Wang H, Xie Y, Lee SC, Liu M, et al. Identification and profiling of microRNAs responsive to cadmium toxicity in hepatopancreas of the freshwater crab Sinopotamon henanense. Hereditas [Internet]. Springer Science and Business Media LLC; 2019 Nov 4;156(1). Available from: http://dx.doi.org/10.1186/s41065-019-0110-z	0
MIMAT0030409	mir-155	rno-	miR-155-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	ssa-	miR-15a	Aluminium	Salmo salar	in vivo (muscle tissue)	up-regulated miRNA in muscle tissue of exposed animals	Kure EH, Sæbø M, Stangeland AM, Hamfjord J, Hytterød S, Heggenes J, et al. Molecular responses to toxicological stressors: Profiling microRNAs in wild Atlantic salmon (Salmo salar) exposed to acidic aluminum-rich water. Aquatic Toxicology [Internet]. Elsevier BV; 2013 Aug;138-139:98–104. Available from: http://dx.doi.org/10.1016/j.aquatox.2013.04.004	1,02
MIMAT0000068	mir-15	hsa-	miR-15a-5p	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0000068	mir-15	hsa-	miR-15a-5p	Lead	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MIMAT0000526	mir-15	mmu-	miR-15a-5p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	hsa-	miR-15b	Phenols	Homo sapiens	In vivo (follicular fluid)	altered in women with a high urinary concentrations of phenols and phthalate metabolites	Martinez RM, Hauser R, Liang L, Mansur A, Adir M, Dioni L, et al. Urinary concentrations of phenols and phthalate metabolites reflect extracellular vesicle microRNA expression in follicular fluid. Environment International [Internet]. Elsevier BV; 2019 Feb;123:20–8. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.043	1
MIMAT0000784	mir-15	rno-	miR-15b-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	hsa-	miR-16	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
NA	NA	bbe-	miR-16	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000069	mir-15	hsa-	miR-16-5p	Titanium	Homo sapiens	in vivo (plasma)	down-regulated in exposed workers	Chen W, Fu W, Deng Q, Li Y, Wang K, Bai Y, et al. Multiple metals exposure and chromosome damage: Exploring the mediation effects of microRNAs and their potentials in lung carcinogenesis. Environment International [Internet]. Elsevier BV; 2019 Jan;122:291–300. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.020	1
MIMAT0000069	mir-15	hsa-	miR-16-5p	Aluminium	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000069	mir-15	hsa-	miR-16-5p	Antimony	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000069	mir-15	hsa-	miR-16-5p	Lead	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
MIMAT0000069	mir-15	hsa-	miR-16-5p	Molybdenum	Homo sapiens	in vivo (plasma)	differential expression associated to exposure in coke oven workers	Deng Q, Dai X, Feng W, Huang S, Yuan Y, Xiao Y, et al. Co-exposure to metals and polycyclic aromatic hydrocarbons, microRNA expression, and early health damage in coke oven workers. Environment International [Internet]. Elsevier BV; 2019 Jan;122:369–80. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.056	1
